id,ad,kategori,malzemeler,hazirlanis,aciklama,duygu_etiketi
-MbNzwNLQ3h8h8tzDrJe,Fransız Usulü Soğan Çorbası Tarifi,Çorba,orta boy kuru soğan;tereyağı;sarımsak;defne yaprağı;taze kekik;tuz;taze çekilmiş tane karabiber;kırmızı şarap (arzuya göre);un;et suyu;baget ekmek;gruyere ya da emmental peyniri;,"1.) Kabuğunu soyduğunuz kuru soğanları, ince ince piyazlık doğrayın. Sarımsakları küçük parçalar halinde doğrayın.
2.) Tereyağını büyük boy bir tencerede eritin. Doğranmış kuru soğan, sarımsak, defne yaprakları ve taze kekikleri; eriyen tereyağında, orta ateşte sotelemeye başlayın.
3.) 25-30 dakika kadar kısık ateşte, soğanlar iyice karamelize olana kadar yanmamalarına dikkat ederek karıştırmaya devam edin.
4.) Arzu ederseniz bir parça yağlı kağıdı, tencerenizin genişliği kadar daire şeklinde kesin. İyice ıslattığınız yağlı kağıdı doğranmış soğanların üzerine kapatın ve arada sırada karıştırarak işlemi tekrarlayın. Bu soğanlarınızın terlemesine yardımcı olacaktır.
5.) Soğanlar iyice yumuşadıktan sonra orta-yüksek ateşte 4-5 dakika karıştırmaya devam ederek soğanların biraz renklenmesine izin verin.
6.) Kırmızı şarabı ekleyin. Yüksek ateşte, şarap uçana ve soğanlar kuruyana kadar kaynatma işlemini sürdürün.
7.) Aromalarını soğana veren kuru kekik ve defne yapraklarını tencereden çıkartın.
8.) Kavrulan soğanlara unu katıp 5 dakika kadar kavurun. Un hafifçe kavrulduktan sonra sıcak et suyunu ekleyin ve çorba karışımını kaynamaya alın.
9.) Yaklaşık 25-30 dakika kadar pişirdiğiniz çorbayı, kaselere aldıktan sonra üzerlerine birer dilim baget ekmek yerleştirin.
10.) Rendelenmiş Gruyere ya da Emmental peyniri eklediğiniz çorbaları, 220 derece fırında peynirler eriyip üzerleri kızarana kadar fırınlayın.
11.) Fırından çıkan çorbaların sıcak olduğunu, kendinize ya da misafirlerinize hatırlatarak servis edin.
","Geleneksel usullerde hazırlanmış, üzeri bir dilim baget ekmek ve eritilmiş gravyer peyniriyle kaplanmış soğan çorbası, sağlıklı olduğu kadar lezzetli de.",rahatlatır
-MbNzwUrusj2Fq3VwzzS,Pazı Çorbası Tarifi,Çorba,pazı yaprağı;arpa şehriye;su;yoğurt;yumurta;sarımsak;un;tuz;tereyağı;toz kırmızı biber;,"1.) Pazı yapraklarını yıkayın ve sap kısımlarını çıkarttıktan sonra, boylamasına ikiye ya da üçe böldükten sonra ince ince doğrayın.
2.) Çorbayı pişireceğiniz bir tencereye suyu alın ve kaynamaya başladıktan sonra içine arpa şehriyeleri ilave edin.
3.) Arpa şehriye kaynamaya devam ederken terbiyesini hazırlayın.
4.) Yoğurt, yumurta ve unu tamamen karışana dek bir çırpma teli yardımıyla çırpın ve kaynayan arpa şehriyenin suyundan da biraz ilave ederek seyreltin.
5.) Sarımsakları, ocakta kaynamakta olan arpa şehriyeye rendeleyerek ilave edin.
6.) Hazırladığınız yoğurtlu terbiyeyi çorbaya, sürekli karıştırarak ve azar azar ilave edin. Koyulaşana dek karıştırarak pişirin.
7.) Çorba koyulaştıktan sonra, doğradığınız pazı yapraklarını da ekleyin ve bir iki taşım daha kaynattıktan sonra ocağın altını kapatın.
8.) Çorbayı servis kaselerine aldıktan sonra, tereyağını bir tavada eritip içine kırmızı toz biberi ilave ederek sosunu hazırlayın.
9.) Hazırladığınız bu sosu kaselerdeki çorbaların üzerine gezdirin ve sıcak sıcak servis edin.
","Pazının sadece yemeği yapılıyor sanıyorsanız yanılıyorsunuz. Karşınızda nefis sosuyla, yumuşacık pazı çorbası tarifi. Afiyet olsun.",rahatlatır
-MbNzwbGuQdXUdV-ZBy3,Kayısı Reçeli Tarifi,Kahvaltılık,kayısı;toz şeker;limonun suyu;,"1.) Kayısıları iyice yıkayın ve ortadan ikiye bölerek çekirdeklerini çıkarın.Çekirdeklerini çıkardığınız kayısıları dörde bölün ve orta boy bir tencerenin içerisine alın.
2.) Tencereye aldığınız kayısıların üzerine şekeri ilave edin ve  bir gece boyunca bu şekilde bekletin. Böylece sularını salmış olacaklar.
3.) Ertesi gün ocağın üzerine alın ve orta ateşte karıştırarak kaynatıp kıvamlanmaya bırakın.
4.) Üstlerinde köpükler oluştukça bir kepçe yardımı ile alın ve atın. Kıvam aldığında içerisine limonun suyunu ilave edin ve karıştırın. Kapağını kapatarak bu şekilde 5 dakika daha kaynatın.
5.) Reçel iyice kıvam aldığında altını kapatın. Reçel soğuduğunda cam bir kavanozun içine alın. Güneş görmeyen serin bir yerde reçeli muhafaza edin. Afiyet olsun.
","Rengini yaz güneşine borçlu olan kayısıların, en güzel tada, en nefis forma kavuştuğu nefis mi nefis kayısı reçeli tarifi.",nötr
-MbNzwhnH1gsBh_z-luV,Ajvar Tarifi,Meze,büyük boy patlıcan;büyük boy kuru soğan;kapya biber;büyük boy domates;sarımsak;zeytinyağı;tuz;kırmızı toz biber;toz şeker;,"1.) Patlıcanları ve biberleri yıkadıktan sonra yağlı kağıt serili bir fırın tepsisine koyun ve önceden ısıtılmış 200 derece fırında yaklaşık 20 dakika közleyin.
2.) Fırındakiler közlenirken, küp küp doğradığınız soğanı ve rendelediğiniz sarımsakları zeytinyağında pembeleşene dek kavurun.
3.) Domatesleri yıkayın ve robottan çekip püre haline getirin.
4.) Kavrulmuş soğan ve sarımsakların üstüne ekleyin. Suyunu çekip koyulaşana dek yaklaşık 20 dakika kadar kavurun.
5.) Biber ve patlıcanlar közledikten sonra kabuklarını soyup, ince ince doğrayın.
6.) Suyunu çekip koyulaşmış olan domateslere ekleyin. Tekrar suyunu çekip koyulaşana dek pişirin.
7.) Baharatlarını da ekledikten sonra 5 dakika kadar daha kaynatın ve sterilize edilmiş kavanozlara sıcak sıcak soldurup, kapaklarını sıkıca kapatın. Ters çevirerek güneş almayan bir yerde bir gece bekletin.
8.) Buzdolabında saklayın ve dilediğiniz gibi servis edin. Afiyet olsun.
","Ajvar, evlerde kış hazırlığı olarak hazırlanan közlenmiş patlıcan, kırmızı biber, domates, soğan ve sarımsağın lezzet kattığı bir tür kahvaltılık sos.",enerji verir
-MbNzwq-wXBzf7C9GXvl,Anne Usulü Yumurtalı Ekmek Tarifi,Kahvaltılık,bayat ekmek;yumurta;süt;tuz;karabiber;toz kırmızı biber;sıvı yağ;,"1.)  Yumurtaları yayvan bir kaba kırın, üstüne süt ve baharatları ilave ettikten sonra bir tel çırpıcı ile güzelce çırpın.
2.) Bayat ekmeği dilimleyin ve dilimleri arkalı önlü iyice bulanacak şekilde bu yumurtalı karışıma bulayın.
3.) Bir kızartma tavasına aldığınız sıvı yağda, yumurtaya buladığınız ekmekleri, arkalı önlü güzelce kızartın.
4.)  
","Yumurtalı ekmek kızartması tarifiyle, kahvaltıları, akşamüstünü ve hatta gece atıştırmalarını kurtarıyoruz. Hazırlanın, yumurtalı ekmek için mutfağa giriyoruz.",enerji verir
-MbNzxCz0hpsGPDup1da,Ispanaklı Yumurta Tarifi,Sebze,ıspanak (ayıklanmış ve temizlenmiş);orta boy kuru soğan;zeytinyağı;yumurta;su;taze çekilmiş tane karabiber;tuz;tereyağı;sumak;süzme yoğurt (arzuya göre);,"1.) Ayıklanmış ve temizlenmiş ıspanakların suyunu süzdürdükten sonra ince ince doğrayın.
2.) Kuru soğanı küçük parçalar halinde yemeklik doğrayın. Zeytinyağını geniş tabanlı bir tavada kızdırdıktan sonra kuru soğanları hafif bir renk alana kadar kavurun.
3.) Suyunu süzdürdüğünüz ıspanakları katıp, kavurma işlemini 3-4 dakika daha sürdürün.
4.) Suyu katıp pişirme işlemini kısık ateşte 5 dakika kadar sürdürün. Suyunu çeken sote ıspanak karışımını tuz ve taze çekilmiş tane karabiberle lezzetlendirin.
5.) Kavrulmuş ıspanak üzerinde kişi sayısı ya da arzunuza göre kullanacağınız yumurta kadar yer açın.
6.) Yumurtaları açtığınız yuvalara dikkatli bir şekilde bütün olarak kırın. Ispanaklı yumurtayı; kapağını kapattığınız tavada, kısık ateşte 3-4 dakika kadar pişirmeyi sürdürün.
7.) Tereyağını küçük bir sos tenceresinde eritin. Sumak ekleyip 1 dakika kadar kızdırın.
8.) Hazırladığınız tereyağlı sosu ıspanaklı yumurtaların üzerine gezdirdikten sonra sıcak olarak bekletmeden sevdiklerinizle paylaşın.
",Sotelenen ıspanak ve kuru soğan karışımı üzerine kırılan yumurtalar hafif bir öğün olmasının yanı sıra lezzetli bir kahvaltılık.,rahatlatır
-MbNzxLB8dDiDM5juZ_q,Puf Böreği Tarifi,Hamur İşi,un;yumurta;su;kabartma tozu;tuz;yağsız beyaz peynir (ya da lor peyniri);maydanoz;ayçiçek yağı;,"1.) Unu geniş bir karıştırma kabına alın. Orta kısmını parmak uçlarınızla açıp yumurtayı kırın.
2.) Unun kenar kısımlarına elenmiş kabartma tozu ve tuzu ekleyin. Azar azar su ekleyip tüm malzemeyi toparlanana kadar yoğurun.
3.) Ne çok sert ne de çok yumuşak bir hamur elde etmelisiniz. Gerekirse azar azar un ilave edip hamuru 8-10 dakika kadar yoğurun.
4.) Kıvam alan hamurun üzerine nemli bir mutfak bezi kapatıp oda sıcaklığında 45-50 dakika kadar dinlendirin.
5.) İç malzemesi için; yağsız beyaz peyniri rendenin ince kısmıyla rendeleyin. Maydanoz yapraklarını ince ince kıyıp rendelenmiş peynirle karıştırın.
6.) Dinlenmiş hamuru ufak bezelere bölüp mutfak tezgahı üzerinde yuvarlayın. Hafifçe unlanmış tezgah üzerinde oklava ya da merdane yardımıyla olabildiğince ince açın.
7.) Hamur ruleti ya da kalıp yardımıyla açtığınız hamurları üçgen şeklinde kesin. Tüm hamur bezeleri bitene kadar aynı işlemi uygulayın.
8.) Üçgen hamur parçalarının yarısını bir kenara ayırın. Kalan üçgenlerin orta kısmına hazırladığınız iç malzemeden yerleştirin.
9.) Üzerlerine birer adet üçgen hamur parçası kapatıp kenar kısımlarının üzerinden hamur ruleti ya da çatal yardımıyla geçin.
10.) Ayçiçek yağını derin bir tencerede kızdırın. Muska şekli verdiğiniz puf böreklerini kızgın yağda renk alana kadar kızartın.
11.) Kevgir yardımıyla kağıt havlu üzerine çıkartıp fazla yağını aldığınız börekleri ılık olarak servis edin.
","Kahvaltıdan çay saatine kadar farklı öğünlerde rahatlıkla servis edilebilecek çıtır bir börek tarifi puf böreği. Hazırlaması kolay, tadı olay.",moral yükseltir
-MbNzxTKDyiKggVJ8Y9z,Peynirli Maydanozlu Popover Tarifi,Hamur İşi,yumurta;süt;un;tuz;maydanoz;beyaz peynir;,"1.) Yumurta ve sütü bir kaba alarak çırpma teliyle çırpın.
2.) Unu ve tuzu ekleyerek güzelce karıştırın.
3.) İnce kıydığınız maydanozları da ekleyip karıştırın.
4.) Hamur dinlenirken fırını 200 dereceye ayarlayın ve fırın ısındığında muffin kalıbını fırına koyarak 2 dakika boyunca ısıtın.
5.) Fırından çıkardığınız kalıbı hızlı bir şekilde yağlayıp, karışımı kalıbın yarısını biraz geçecek şekilde kalıba paylaştırın.
6.) Beyaz peyniri ufalayarak karışımın üzerine ekleyin.
7.) 200 derece fırında 10 dakika pişirdikten sonra ısıyı 180 dereceye düşürerek 20 dakika daha pişirin ve soğutmadan afiyetle tüketin.
","Uzun uzadıya başında oturulan, keyfi çokça çıkarılan kahvaltı sofralarına yakışır bir lezzet: peynirli maydanozlu popover tarifi.",enerji verir
-MbNzx_ZY2qRJIlZ5P4r,Mayasız Peynirli Poğaça Tarifi,Hamur İşi,un;ılık süt;yumurta;sıvı yağ;tuz;toz şeker;kabartma tozu;tuzsuz beyaz peynir;doğranmış maydanoz;yumurta sarısı;susam ve çörek otu karışımı;,"1.) Geniş bir yoğurma kasesine un hariç tüm malzemeleri kaba aktarın.
2.) Aktardığınız malzemeleri karıştırın.Ardından unu azar azar ekleyin ve yoğurmaya başlayın.
3.) Yoğurduğunuz hamurun üzerine streç film çekip 15 dakika dinlendirin.
4.) İç harcı için peynir ve maydanozu bir kapta karıştırın.Dinlenen hamurdan yaklaşık 16-17 adet beze hazırlayın.
5.) Elinizle her bir bezeye yuvarlak şekil verip, orta kısmına peynirli harçtan ekleyip yarım ay şeklinde kapatın. Poğaçalar pişerken açılmaması için kürdan veya çatal yardımıyla kenarları sağlamlaştırın.
6.) Pişirme kağıdı serdiğiniz fırın tepsisine poğaçaları yerleştirin.Her birinin üzerine yumurta sarısı sürün ve çörek otu- susam karışımından serpiştirin.
7.) Önceden ısıtılmış 190 derece fırında kontrollü olarak yaklaşık 20- 25 dakika kadar pişirin.Piştikten sonra oda sıcaklığında 5-10 dakika bekletip, sevdiklerinizle afiyetle tüketin.Afiyetler olsun!
","Mayalanmasını beklemeden hazırladığımız poğaça hamuru, klasik peynir harcı ile birleşiyor ve fırında kıyır kıyır pişiyor, yumuşacık oluyor!",enerji verir
-MbNzxfsS-87hG-VB4Ug,Sodalı Buzluk Böreği Tarifi,Hamur İşi,yufka;sıvı yağ;soda;ezine peyniri;yumurta sarısı;,"1.) Tezgahın üzerine yufkaları serin ve bir fırça yardımıyla sıvı yağ sürün.
2.) Yağlanmış yufkaları 6-8 parça halinde üçgen bir biçimde kesin.
3.) Ezine peynirlerini ufalayın ve kestiğiniz parçaların üzerine aktararak güzelce sarın. Uçlarını su yardımıyla birleştirin.
4.) Tüm yufkalara bu işlemi uyguladıktan sonra buzdolabı poşetlerinin içerisine aktarın ve buzluğa atın.
5.) Kullanmak istediğiniz zaman çıkarın. Bir kabın içerisine sıvı yağ ve sodayı karıştırın.
6.) Buzluktan çıkardığınız börekleri bu sıvı karışımının içerisine atın ve hafifçe ıslanmalarını sağlayın.
7.) Ardından pişirme kağıdı serili fırın tepsisinin üzerine börekleri dizin. Yumurta sarısını bir fırça yardımıyla böreklerin üzerine sürün.
8.) Öncede ısıtılmış 180 derecelik fırında üzeri kızarana kadar pişirin.
9.) Üzeri kızarınca çıkarıp sıcak sıcak servis edin.
","Zor zamanlarınızda imdadınıza yetişecek, nefis mi nefis kıvamıyla sizi çok mutlu edecek sodalı buzluk böreği tarifimiz var.",enerji verir
-MbNzxn53KSMWvhd95AJ,Kaygana Tarifi,Kahvaltılık,yumurta;un;süt;maydanoz;dereotu;taze soğan;tuz;ayçiçek yağı;,"1.) Unu, sütü ve tuzu derin bir kabın içerisinde güzelce çırpın. Yumurtaları ayrı bir kasede çırpın ve bu karışıma ilave ederek güzelce karıştırın.
2.) İçerisine ince ince doğranmış; maydanoz, taze soğan ve dereotunu da ekleyip iyice karıştırın. Yapışmaz tabanlı bir krep tavasını ocakta ısıtın.
3.) Harca 1 yemek kaşığı kadar sıvı yağ koyun, yağ kızınca hazırladığınız kaygana hamurundan bir kepçe alın ve tavaya yayın.
4.) Altlı üstlü çevirerek güzelce pişirin. Tüm karışımı tavaya her seferinde bir miktar yağ ilave ederek bu şekilde pişirin. Sıcak sıcak servis edin.
","Bir nevi sebzeli omlete andıran, Karadeniz'in en sevilen lezzetlerinden kaygana tarifi ile karşınızdayız! Şimdiden ellerinize sağlık.",rahatlatır
-MbNzy8DR9Mo0ohDqXzP,Patates Tostu Tarifi,Kahvaltılık,patates;yumurta;tuz;karabiber;sıvı yağ;kaşar peyniri;,"1.) Rendelediğiniz ve suyunu sıktığınız patatesleri geniş bir kaseye aktarın.
2.) Üzerine yumurta, tuz, karabiber, sıvı yağ ve rendelenmiş kaşar peynirini ekleyin ve güzelce karıştırın.
3.) Tost makinenizi iyice ısıtın.
4.) Pişirme kağıdını da tost makinesine göre katlayın ve içine hazırladığınız harcı serin.
5.) İyice ısınmış tost makinesinde patates tostunuzu iyice kızarana kadar pişirin. Ara ara kontrol etmeyi ihmal etmeyin. Afiyet olsun!
","Dört malzemeyle yapılabilecek en lezzetli tarif olan patates tostuna bayılacaksınız! Hem pratik, hem lezzet dolu bu tarif için buraya buyurun!",enerji verir
-MbNzyHc63I6I4brNoEW,Smoothie Kasesi (Bowl) Tarifi,Özel Beslenme,süzme yoğurt;yaban mersini;çilek;bal;chia tohumu;yaban mersini;muz;chia tohumu;çiğ badem;,"1.) Süzme yoğurdu blenderın içine aktarın.
2.) Çileklerin sap kısımları çıkararak üzerine ekleyin.
3.) Ardından yaban mersini bal ve chia tohumunu ilave edin.
4.) Güzelce karıştırın.
5.) Karışımı bir kasenin içine alın. Muzu dilimleyin. Üzerini bademler, chia tohumu, muz dilimleri ve yaban mersinleriyle süsleyerek servis edin.
","Kahvaltı yapmaya üşenene, sağlıklı yiyeceklerin peşine düşüne nefis mi nefis smoothie kasesi (bowl) tarifimiz var. Renkleri içinizi açsın.",nötr
-MbNzyP4FgF898f4CYCu,Vişne Reçeli Tarifi,Kahvaltılık,vişne;toz şeker;taze sıkılmış limon suyu;limon tuzu;,"1.) Vişneleri bol suyla yıkayın ve saplarını kopardıktan sonra çekirdeklerini çıkarın. (bir çay kaşığı sapı ya da pipet yardımıyla)
2.) Çekirdeklerini çıkardığınız vişneleri derince bir çelik tencereye alın ve üstlerini tamamen şekerle kaplanacak şekilde toz şekerle örtün.
3.) Kapağı kapalı olarak bir gece boyunca suyunu salması için bekletin.
4.) Vişne az sulu bir meyve olduğu için bıraktığı su miktarı yetersiz gelebilir, bu yüzden ertesi sabah içine 1 su bardağı kadar su ilavesi yaptıktan sonra, vişneleri ezmeden hafifçe karıştırın ve ocağın altını açıp en kısık ateşe getirin.
5.) En kısık ateşte ara ara üstünde biriken köpükleri alıp atın ve bu şekilde reçelin suyu hafifçe kıvama gelene dek yaklaşık 2 saat pişirin.
6.) Ocaktan almadan 5 dakika önce limon suyunu ve limon tuzunu ekleyip, ocaktan alın ve cam bir kaba boşaltıp, mümkünse güneş gören bir yerde kıvam alana dek bekletin.
7.) Oda ısısına geldikten sonra kavanoza alın ve buzdolabında muhafaza edin. Afiyet olsun.
","Kahvaltının mutlulukla, mutlu kahvaltıların ise vişne reçeliyle ilgisi olduğu bir gerçek. Hemen gözünüz korkmasın, tarifte pek çok püf noktası gizli.",nötr
-MbNzyXLGB6orcw7uf_Q,Ev Yapımı Sucuk Tarifi,Kahvaltılık,dana kıyma;kuzu kıyma;sarımsak;tuz (azaltıp arttırılabilir);kırmızı toz biber;acı kırmızı pul biber;kimyon;yenibahar;karabiber;kurutulmuş dana bağırsağı;,"1.) Sarımsakların kabuklarını soyun. Üzerine hafif tuz ilave ederek havanda dövün.
2.) Tüm baharatları ve tuzu bir kabın içine alın ve karıştırın.
3.) Derin bir kabın içine etleri alın.
4.) Üzerine dövülmüş sarımsakları ve baharat karışımını ilave ederek 20-25 dakika kadar yoğurun.
5.) Ardından üzerini streç filme sararak buzdolabında yaklaşık 1 gün dinlendirin.
6.) Çıkarıp et kıyma makinesinden geçirin. Eğer et kıyma makineniz yoksa dinlenen eti et dövme aletiyle dövün.
7.) Tekrar incelen etleri 20 dakika kadar yoğurun.
8.) Ardından bir huni ya da orta kalınlıkta plastik bir boru yardımıyla hazırladığınız eti kurutulmuş dana bağırsaklarının içine doldurun. Hava kabarcıklarının oluşmamasına özen gösterin.
9.) Her iki uç noktasında da boşluklar bırakın. Boşluk bıraktığınız kısımları kıvırın ve uçlarını birbirine bağlayın.
10.) İşlemi tüm ete uyguladıktan sonra elde ettiğiniz sucukları kalın bir ipe dizin. Güneş alan bir yerde hava sıcaklığına bağlı olarak 3-7 gün arasında bekletin. Eğer hava kabarcıkları oluşmuşsa onları iğne batırarak söndürün.
11.) Dinlenen sucuklarınızın üzerindeki tabakayı çıkararak afiyetle tüketin.
","Üzerine iki yumurta kırılıp, keyifle yenen o sucukları şimdi evde hazırlıyoruz. Keyfini uzun uzadıya çıkarmak için ev yapımı sucuk tarifimize buyurun.",nötr
-MbNzynHP7eGW6lTNSFJ,Pastane Tadında Karaköy Poğaçası Tarifi,Hamur İşi,oda sıcaklığında margarin;sıvı yağ;ılık süt;toz şeker;instant maya;ılık su;tuz;yumurta (1 yumurta sarısı ayrılacak);un;çörek otu;,"1.) Orta boy bir kabın içerisine ılık süt, su, maya ve şekeri koyun. Güzelce karıştırın.
2.) Ardından sıvı yağ, yumurta ve margarini koyarak güzelce karıştırın.
3.) Ardından tuzu ve unu eleyerek bu karışımın içerisine yedirmeye başlayın. Unu azar azar ilave edin ki fazla ya da az gelme durumların önüne geçmiş olun.
4.) Yumuşacık bir hamur elde edene kadar yoğurun. Yoğurduktan sonra üzerini nemli bir bezle ya da streç filmle örtün ve oda sıcaklığında 1 saat kadar mayalandırın.
5.) Mayalanan hamurdan orta büyüklükte bezeler elde edin ve güzelce yuvarlayın ya da uzunlanmasına şekiller verin.
6.) Pişirme kağıdı serili fırın tepsisinin üzerine aktarın, 10 dakika kadar daha mayalandırın.
7.) Üzerine yumurta sarısı sürün ve çatalın arka kısmıyla yukarıdan aşağıya doğru çizerek şekil verin. 180 derecede ısıtılmış fırında 20-30 dakika arası pişirin. Bu süre fırının performansına göre değişebilir.
8.) Çıkarıp oda sıcaklığında dinlendirdikten sonra afiyetle yiyin.
","O hep aradığınız mis gibi kokan, ağza atıldığında puf puf oluşuyla mutlu eden poğaçaların sırrı pastane tadında Karaköy poğaçası tarifinde saklı.",mutlu eder
-MbNzz2YxODzrg-SrFx5,Gözleme Tarifi,Kahvaltılık,kuru maya;ılık su;un;tuz;lor peyniri;rendelenmiş kaşar peyniri;maydanoz;tuz;kırmızı pul biber;,"1.) Ilık su ve kuru mayayı karıştırdıktan sonra geniş bir karıştırma kabına alın. Mayanın aktive olması için kısa bir süre bekletin.
2.) Tuz ve azar azar eklediğiniz un ilavesiyle hamuru toparlanana kadar yoğurun.
3.) Elde ettiğiniz yumuşak kıvamlı hamuru, üzerini nemli bir bezle örttükten sonra oda ısısında 30 dakika kadar dinlendirin.
4.) İç harcı hazırlamak için; maydanoz yapraklarını incecik kıyın. Rendelenmiş kaşar peyniri, lor peyniri, doğranmış maydanoz, tuz ve kırmızı pul biberle karıştırın.
5.) Dinlenen hamurdan yumurta büyüklüğünde parçalar kopartıp unlanmış bir mutfak tezgahı üzerinde oklava yardımıyla incecik açın.
6.) Açtığınız hamurların bir bölümüne hazırladığınız peynirli iç harçtan yayın. Zarf şeklinde katladığınız hamurlara son şeklini verin.
7.) Önceden ısıtılmış tavada ters yüz ederek pişirin. Ocaktan aldığınız gözlemeleri arzuya göre tereyağıyla yağlayıp sıcak olarak sevdiklerinizle paylaşın.
","Her öğün yenebilen gözlemeyi, hazır yufka yerine el açması olarak yaptık; içine de bolca peynir kattık. Gerçek ev yapımı gözleme tarifi karşınızda!",nötr
-MbNzz9pZVFj01O9eg0t,Bulut Yumurta Tarifi,Kahvaltılık,yumurta;tuz;,"1.) Yumurtaların beyazını bir kaba, sarılarını da ayrı bir kaba ayırın. Beyaz ve sarıların birbirlerine karışmamasına özellikle özen gösterin.
2.) Yumurta beyazların içerisine tuz atın ve çırpıcı yardımıyla beyaz bir köpük haline gelene kadar çırpın.
3.) Yağlı kağıt serili fırın tepsisine, spatula yardımıyla orta boy bezeler halinde yumurta beyazlarınızı aktarın. Ortalarında boşluk oluşturun.
4.) Ortasındaki boşluklara yumurta sarılarını dikkatli bir şekilde aktarın. Önceden ısıtılmış 190 derecede üzeri hafif renk alana kadar 15-20 dakika arası pişirin.
5.) Pişince çıkarıp sıcak sıcak servis edin. Afiyetler olsun!
",Kahvaltılık tariflerin en lezzetlilerinden biri olacak nefis mi nefis bulut yumurta tarifi ile karşınızdayız. Şimdiden ellerinize sağlık!,enerji verir
-MbNzzN63QFa6zPZLr8x,Lutenitsa Tarifi,Vejetaryen,kapya biber;patlıcan;domates;havuç;sarımsak;tuz;karabiber;şeker;elma sirkesi;zeytinyağı;,"1.) Biberleri ve patlıcanları 220 derece fırında 25-30 dakika pişirin.
2.) Fırından çıktıktan sonra kabuklarından rahatça ayrılabilmeleri için bir kabın içine alın ve streç film ile kapatarak 10 dakika bekletin.
3.) Yıkanmış domateslerin ve havuçların kabuklarını soyun veberaber rondodan püre haline gelene kadar geçirin. Rondonuz yoksa rendeleyin.
4.) Büyükçe bir tencerenin içine rondodan geçirdiğiniz havuç ve domates karışımını ekleyip suyunu çekene dek pişirin.
5.) Biraz piştikten sonra içerisine ezilmiş sarımsakları ekleyin. Ağır ateşte yavaş yavaş pişmeye bırakın.
6.) İyice terleyen biber ve patlıcanlarınızın kabuklarını soyun. Çekirdekli kısımlarını çıkarın. Rondodan geçirin.
7.) Rondodan geçirdiğiniz biber ve patlıcanları tencereye ilave edin. Üzerine tuz, karabiber ve şekerini ilave edip, kısık ateşte suyunu çektirerek pişirmeye devam edin.
8.) İyice kıvam aldığında sirke ve zeytinyağını ilave edip 10 dakika daha pişirin.
9.) Ocaktan alıp, ilk sıcaklığı geçtikten sonra kavanozun içine alın ve ağzını sıkıca kapatıp muhafaza edin. Afiyet olsun.
","Soğuk hava dalgası değil, bu kez Balkanlar'dan lezzet fırtınası geldi. Lutenitsa tarifiyle damaklarımızda nefis bir şenlik var.",enerji verir
-MbNzzUdtszhlk3DP01E,Boyoz Tarifi,Hamur İşi,un;tuz;toz şeker;ayçiçek yağı (arzuya göre zeytinyağı);,"1.) Elediğiniz unu derin bir karıştırma kabı ya da mutfak tezgahı üzerine alın.
2.) Toz şeker ve tuz ilave ettiğiniz una azar azar ılık su ekleyerek hamuru yoğurmaya başlayın. (500 gram un için yaklaşık 250 ml. ılık su)
3.) 10-15 dakika kadar sürekli yoğurduğunuz hamurdan kulak memesi yumuşaklığından bir parça daha sert olacak bir hamur hazırlayın.
4.) Üzerini streç filmle kapladığınız hamuru, oda sıcaklığında 20 dakika kadar bekletin.
5.) Dinlenen hamuru rulo şeklinde açtıktan sonra ceviz büyüklüğünde hamur bezeleri hazırlayın.
6.) Üzerini nemli bir bezle örttüğünüz hamur bezelerini oda sıcaklığında 20 dakika kadar bekletmeye devam edin.
7.) Dinlenen hamurları merdane yardımıyla yuvarlak şeklinde açın. Üzerlerini ayçiçek yağıyla yağladığınız hamurları, üst üste koyduktan sonra olabildiğince ince bir hal alana kadar açın.
8.) Yağlı hamurları açma işlemini mümkünse mermer bir tezgah üzerinde yapmanız hamurları açma işlemini oldukça kolaylaştıracaktır.
9.) Üst üste dizdikten sonra incecik açtığınız yağlı hamur katlarını, zarf şeklinde katladıktan sonra rulo şeklinde sarın.
10.) Hazırladığınız yağlı hamur rulosunu oda sıcaklığında son kez 20 dakika kadar bekletin.
11.) Fırını 200 derecede önceden ısıtın. Fırın tepsisinin üzerini yağlı kağıtla kaplayın.
12.) Dinlenen yağlı hamurdan 3-4 cm. büyüklüğünde hamur parçaları kesin.
13.) Elinizde hafifçe yuvarladığınız hamur parçalarının orta kısımlarına baş parmağınızla bastırdıktan sonra fırın tepsisine aralıklı olarak yerleştirin.
14.) Fırının orta katında üzerleri kızarana kadar pişirdiğiniz boyozları sıcak olarak bekletmeden servis edin.
","İzmir damak tadı ile özdeşleşmiş, mayasız bir hamur işi olan boyoz tarifini, çeşitli iç harçlarla hazırlayabileceğiniz gibi boş olarak da pişirebilirsiniz.",nötr
